,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,Number of bath rooms,Number of rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Type of garage,Other space inside the building,Garden location,Back garden
537,Available in consultation,475000,7197,Shower and toilet,Resale,,13,TV via cable,Patio/atrium,CH boiler,CH boiler,,,2 ,66,In center and in residential district,1 bathroom,"3  ,1 ",1,,Protected townscape or village view (permit needed for alterations) and monumental building,Sold under reservation,Paid parking and resident's parking permits,,215,1750,https://www.funda.nl/en/koop/amsterdam/appartement-42678878-nieuwezijds-voorburgwal-306-1,Yes,,Yes,"Electrical from 2018, in ownership",,2 ,Yes,Yes,G ,Yes,Yes,,Upstairs apartment (apartment),,, 136  ,,,,
538,Available in consultation,600000,3000,,Resale,,,,,CH boiler,CH boiler,,"Property alongside canal, semi-detached residential property",3 ,200,"On navigable waterway, alongside water and in center",2 separate toilets,"8  ,4 ",2,139,Monumental building,Sold under reservation,Paid parking and resident's parking permits,Hip roof covered with asphalt roofing and roof tiles,825,1649,https://www.funda.nl/en/koop/amsterdam/huis-42522776-prinsengracht-235,,,,"Remeha (gas-fired combination boiler from 2017, in ownership)",,,,,,,,,,,,,,,,
540,Available in consultation,635000,7651,,Resale,,,Electricity,,,CH boiler,Double glazing,,4 ,83,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Paid parking and resident's parking permits,,275,,https://www.funda.nl/en/koop/amsterdam/appartement-42503184-maarten-harpertszoon-trompstraat-14-ii,Yes,,Yes,,20,3 ,Yes,Yes (€ 245.00 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 245.00  ,,,,,,
541,Available in consultation,2800000,16092,3 toilets,Resale,,2,Electricity,,CH boiler,CH boiler,Completely insulated,,6+ ,174,,3 bathrooms and 1 separate toilet,"4  ,3 ",2,,Protected townscape or village view (permit needed for alterations) and monumental building,Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,665,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42415880-keizersgracht-18-d,Yes,Balcony present,Yes,"Gas-fired combination boiler from 2017, in ownership",5,3 ,Yes,Yes (€ 414.84 per month),,Yes,Yes,Storage box,Penthouse (double upstairs apartment), 414.84  ,,,,,,
542,Available in consultation,525000,8468,,Resale,B  ,,Mechanical ventilation and TV via cable,Back garden,CH boiler,CH boiler,Completely insulated,,"March 11, 2022",62,Alongside a quiet road and in center,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,220,1988,https://www.funda.nl/en/koop/amsterdam/appartement-88093281-daniel-stalpertstraat-62-a,Yes,,Yes,"Combination boiler, in ownership",5,Grou ,Yes,Yes (€ 119.69 per month),,Yes,Yes,,Ground-floor apartment (apartment), 119.69  ,Energie Prestatie Advies, 120  ,,,Located at the south,"51 m² (8,5 meter deep and 6 meter broad)"
543,Available in consultation,475000,8190,Bath and toilet,Resale,D  ,28,,Back garden,CH boiler,CH boiler,,,"March 4, 2022",58,In residential district,1 bathroom,"3  ,2 ",1,,,Available,,,146,1929,https://www.funda.nl/en/koop/amsterdam/appartement-88084626-aalsmeerweg-68-hs,Yes,,Yes,,,Grou ,Yes,Yes,,Yes,Yes,,Ground-floor apartment (apartment),,,,,,Located at the northwest,"28 m² (4,75 meter deep and 5,8 meter broad)"
544,Available in consultation,219000,4867,Toilet,Resale,C  ,,,,CH boiler,CH boiler,Mostly double glazed and completely insulated,,"February 28, 2022",45,,1 bathroom and 1 separate toilet,"1  ,1 ",4,,,Available,,Flat roof covered with asphalt roofing,150,2003,https://www.funda.nl/en/koop/amsterdam/appartement-42613236-osdorper-ban-90-a-25,Yes,,Yes,VR ketel ( combination boiler from 2014),,4 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 97  ,,,,
545,Available in consultation,475000,3893,Bath and shower,Resale,B  ,9,TV via cable,,CH boiler,CH boiler,,,4 ,122,In residential district,1 bathroom,"6  ,5 ",2,,,Sold under reservation,,Gable roof covered with roof tiles,380,1957,https://www.funda.nl/en/koop/amsterdam/appartement-42587019-louis-chrispijnstraat-7-ii,Yes,Balcony present,Yes,Gas-fired combination boiler from 2014,7,2 ,Yes,Yes,,Yes,Yes,Storage box,Maisonnette (apartment),,, 160  ,,,,
546,Available in consultation,325000,7386,Shower and toilet,Resale,B  ,4,,,CH boiler,CH boiler,,,"March 9, 2022",44,,1 bathroom,"2  ,1 ",1,,,Available,Paid parking and public parking,,142,,https://www.funda.nl/en/koop/amsterdam/appartement-42622087-wagenaarstraat-455,Yes,Balcony present,Yes,,4,,Yes,Yes (€ 94.00 per month),,Yes,Yes,Built-in,Upstairs apartment, 94.00  ,, 94  ,,,,
547,Available in consultation,275000,4231,,Resale,B  ,7,TV via cable,,District heating,District heating,Double glazing,,6 ,65,,,"3  ,2 ",1,,With carpets and curtains,Under offer,,,214,1960,https://www.funda.nl/en/koop/amsterdam/appartement-88048163-osdorper-ban-203,Yes,,Yes,,7,5 ,Yes,Yes (€ 180.00 per month),,Yes,Yes,Storage box,Galleried apartment (apartment), 180.00  ,,,,,,
548,Available in consultation,385000,7549,Shower and toilet,Resale,A 0.92  ,,Electricity,Back garden,CH boiler,CH boiler,Double glazing,,4 ,51,Alongside a quiet road and in residential district,1 bathroom,"2  ,1 ",1,,,Sold under reservation,Paid parking and resident's parking permits,Gable roof covered with roof tiles,145,1919,https://www.funda.nl/en/koop/amsterdam/appartement-42583787-putterstraat-7,Yes,,Yes,"Intergas (gas-fired combination boiler from 2020, in ownership)",5,Grou ,Yes,Yes (€ 70.91 per month),,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment), 70.91  ,Energie Prestatie Advies,,,,Located at the northwest accessible via the rear,"40 m² (7,55 meter deep and 5,33 meter broad)"
549,Available in consultation,350000,8974,Bath and toilet,Resale,C  ,7,"Skylight, passive ventilation system and TV via cable",,CH boiler,CH boiler,Double glazing and insulated walls,,"March 3, 2022",39,"Alongside a quiet road, on navigable waterway, alongside water, sheltered location, in center and unobstructed surrounding view",1 bathroom,"2  ,1 ",1,,,Available,"Paid parking, public parking and resident's parking permits",Combination roof covered with roof tiles,140,1886,https://www.funda.nl/en/koop/amsterdam/appartement-42627724-plantage-muidergracht-145-4,Yes,Roof terrace present,Yes,"Remeha (gas-fired combination boiler from 2019, in ownership)",,4 ,No,Yes (€ 102.60 per month),,Yes,Yes,,Upstairs apartment (apartment), 102.60  ,, 103  ,,,,
550,Available in consultation,798000,4866,2 baths and shower,Resale,A  ,13,Mechanical ventilation,,CH boiler and heat recovery unit,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",,5 ,164,In residential district and unobstructed surrounding view,2 bathrooms and 2 separate toilets,"4  ,3 ",2,,,Available,Public parking,Flat roof,544,1993,https://www.funda.nl/en/koop/amsterdam/appartement-42443922-sint-gilleshof-38,Yes,Balcony present,Yes,"Atag ( combination boiler from 2016, in ownership)",7,,Yes,Yes (€ 372.49 per month),,Yes,Yes,Attached brick storage,Maisonnette (apartment), 372.49  ,,,,,,
551,Available in consultation,500000,3731,"Bath, shower and toilet",Resale,B  ,,TV via cable,Back garden and front garden,CH boiler,CH boiler,Completely insulated,"Single-family home, row house","March 11, 2022",134,"Alongside water, in residential district and unobstructed surrounding view",1 bathroom and 2 separate toilets,"4  ,3 ",3,88,,Available,Public parking,Flat roof,451,1991,https://www.funda.nl/en/koop/amsterdam/huis-42637888-bultrugpad-5,,,,"Intergas (gas-fired combination boiler, in ownership)",,,,,,,,Attached wooden storage,,,,,,3 ,Located at the southwest,"36 m² (8,67 meter deep and 4,13 meter broad)"
552,Available in consultation,335000,4855,Bath,Resale,A  ,5,Electricity,,CH boiler,CH boiler,No insulation,,7 ,69,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,,,229,2007,https://www.funda.nl/en/koop/amsterdam/appartement-88049215-professor-jh-gunningstraat-31-pp,Yes,Balcony present,Yes,"Remeha (gas-fired combination boiler from 2007, in ownership)",5,3 ,Yes,Yes (€ 185.00 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 185.00  ,,,Parking place,,,
553,Available in consultation,425000,7203,Shower and toilet,Resale,F  ,,"Mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Partly double glazed,,2 ,59,"Alongside a quiet road, in center and in residential district",1 bathroom,"4  ,2 ",2,,,Available,Paid parking and resident's parking permits,Combination roof,196,1882,https://www.funda.nl/en/koop/amsterdam/appartement-42613623-lijndenstraat-26-d,Yes,,Yes,"Gas-fired combination boiler, in ownership",,4 ,Yes,Yes (€ 70.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 70.00  ,,,,,,
554,Available in consultation,475000,9314,Shower,Resale,A  ,3,Electricity,,CH boiler,CH boiler,,,5 ,51,,1 bathroom and 1 separate toilet,"2  ,1 ",2,,,Under offer,,Gable roof,138,1878,https://www.funda.nl/en/koop/amsterdam/appartement-42692636-frans-halsstraat-80-e,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler, in ownership)",3,3 ,Yes,Yes (€ 127.05 per month),,Yes,Yes,Built-in,Maisonnette (double upstairs apartment), 127.05  ,,,,,,
555,Available in consultation,650000,7386,,Resale,D  ,,"Electricity, heating and running water",Back garden,CH boiler,CH boiler,"Roof insulation, double glazing, eco-building, partly double glazed, no cavity wall, insulated walls, floor insulation, completely insulated and secondary glazing",,"March 10, 2022",88,Alongside water and unobstructed surrounding view,,"4  ,3 ",1,,,Available,,,216,,https://www.funda.nl/en/koop/amsterdam/appartement-42636406-fahrenheitsingel-36,Yes,,Yes,"Gas-fired, in ownership",,Grou ,Yes,Yes (€ 43.00 per month),,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 43.00  ,,,,,Located at the south,"70 m² (9,5 meter deep and 7,5 meter broad)"
556,Available in consultation,1250000,10246,Toilet,Resale,F  ,,"Electricity, heating and running water","Back garden, front garden and side garden",CH boiler,CH boiler,Completely insulated,"Single-family home, detached residential property (dyke house)","March 9, 2022",122,,1 bathroom and 1 separate toilet,"5  ,2 ",3,205,Protected townscape or village view (permit needed for alterations),Available,Paid parking and public parking,Combination roof covered with asphalt roofing and roof tiles,455,1953,https://www.funda.nl/en/koop/amsterdam/huis-42623355-nieuwendammerdijk-162,,,,"Intergas (gas-fired combination boiler from 2021, in ownership)",27,,,,,,,Detached brick storage,,,,,Parking place,,Located at the south accessible via the rear,"80 m² (10,55 meter deep and 7,56 meter broad)"
557,Available in consultation,600000,7059,,Resale,,,,Sun terrace,CH boiler and wood heater,CH boiler,,"Houseboat, detached residential property",3 ,85,On navigable waterway and alongside water,,"6  ,5 ",1,,,Available,Paid parking and public parking,,170,1927,https://www.funda.nl/en/koop/amsterdam/huis-88999952-amsteldijk-727,,,,Gas-fired combination boiler,,,,,,,,,,,,,,7 ,,
558,Available in consultation,950000,6884,Bath and 2 showers,Resale,D  ,40,,,CH boiler,CH boiler,,,"March 4, 2022",138,In center and in residential district,2 bathrooms and 1 separate toilet,"6  ,5 ",3,,,Available,Resident's parking permits,,467,1914,https://www.funda.nl/en/koop/amsterdam/appartement-42629437-busken-huetstraat-10,Yes,Roof terrace present and balcony present,Yes,"Gas-fired, in ownership",,,No,Yes (€ 244.00 per month),,Yes,Yes,,Upstairs apartment (double upstairs apartment), 244.00  ,,,,,,
559,Available in consultation,650000,5372,"Bath, shower and toilet",Resale,A  ,,Mechanical ventilation and sliding door,Back garden,District heating,Central facility,Double glazing and completely insulated,"Single-family home, row house",5 ,121,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"5  ,4 ",3,,,Sold under reservation,Parking garage,,323,2007,https://www.funda.nl/en/koop/amsterdam/huis-42699192-nicolaas-hennemanhof-8-pp,,French balcony present,,,11,,,,,,,Storage box,,,, 45  ,Parking place,,Located at the southwest,"27 m² (6,2 meter deep and 4,4 meter broad)"
560,Available in consultation,395000,7900,,Resale,D  ,,TV via cable,,CH boiler,CH boiler,Partly double glazed,,"March 11, 2022",50,In center,1 bathroom and 1 separate toilet,"3  ,2 ",2,,,Available,Paid parking and resident's parking permits,,166,1910,https://www.funda.nl/en/koop/amsterdam/appartement-88093260-van-hallstraat-47-3,No,Balcony present and french balcony present,No,"Intergas kompasrichting hre (gas-fired combination boiler from 2016, in ownership)",,3 ,No,No,,No,No,,Upstairs apartment (apartment), 75.00  ,, 75  ,,,,
561,Available in consultation,575000,5750,Hipbath and shower,Resale,A  ,11,"Outdoor awning, elevator, mechanical ventilation and TV via cable",,District heating,Central facility,Completely insulated,,2 ,100,"Alongside a quiet road, sheltered location, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Available,Parking garage,Flat roof,325,2005,https://www.funda.nl/en/koop/amsterdam/appartement-42613509-erich-salomonstraat-370,Yes,Balcony present,Yes,,,6 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 169  ,Underground parking and parking place,,,
562,Available in consultation,700000,6796,Bath,Resale,E  ,12,Electricity,Back garden,CH boiler,CH boiler,Mostly double glazed,,"March 3, 2022",103,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Available,Paid parking and resident's parking permits,Combination roof covered with asphalt roofing and roof tiles,355,1933,https://www.funda.nl/en/koop/amsterdam/appartement-42628712-hembrugstraat-19,Yes,,Yes,"Gas-fired combination boiler from 2018, in ownership",5,Grou ,Yes,Yes,,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment),,, 158  ,,,Located at the southwest,"0,04 meter deep and 0,05 meter broad"
563,Available in consultation,1500000,8287,"Hipbath, shower and 2 toilets",Resale,A  ,17,Electricity,Surrounded by garden,"District heating, complete floor heating and heat recovery unit",District heating,Double glazing,"Villa, detached residential property","February 28, 2022",181,"Alongside a quiet road, sheltered location and in residential district",2 bathrooms and 1 separate toilet,"6  ,4 ",3,329,,Available,Paid parking and public parking,,662,2011,https://www.funda.nl/en/koop/amsterdam/huis-42613232-zwenkgrasstraat-5,,Roof terrace present and balcony present,,,,,,,,,,Built-in,,,,,Carport,,,
564,Available in consultation,425000,5903,Shower,Resale,C  ,12,Outdoor awning and solar panels,Back garden and front garden,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls","Single-family home, corner house",3 ,72,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"4  ,3 ",2,78,,Available,Paid parking and resident's parking permits,Flat roof,276,1954,https://www.funda.nl/en/koop/amsterdam/huis-42604045-joop-eijlstraat-1,,Balcony present,,"Gas-fired combination boiler from 2015, in ownership",6,,,,,,,Attached brick storage,,,,,,5 ,,
565,Available in consultation,575000,7278,Shower,Resale,C  ,4,Electricity,,Communal central heating,Gas water heater,No insulation,,5 ,79,"Alongside a quiet road, on navigable waterway, alongside water, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,"Paid parking, public parking and resident's parking permits",Flat roof,265,,https://www.funda.nl/en/koop/amsterdam/appartement-42690950-baarsjesweg-155-iii,Yes,Balcony present,Yes,,6,3 ,Yes,Yes (€ 126.83 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 126.83  ,,,,4 ,,
566,Available in consultation,485000,6736,Toilet,Resale,D  ,5,,,CH boiler,CH boiler,,,"March 10, 2022",72,,1 bathroom,"4  ,2 ",2,,,Available,,,232,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42637501-president-kennedylaan-122-3,Yes,Balcony present,Yes,Intergas (2012),,3 ,Yes,Yes (€ 75.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 75.00  ,,,,1 ,,
