,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Plot size
301,,475000,4481,,Shower and toilet,,Resale property,"Intergas (gas-fired combination boiler from 2014, in ownership)",,,Mechanical ventilation,CH boiler,CH boiler,"Double glazing, energy efficient window, floor insulation and completely insulated","March 4, 2022",106,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),3,,,,,Available,,Paid parking and public parking,380,2014,,Back garden,,"Single-family home, row house",,,,,,,Flat roof covered with asphalt roofing,80
302,Yes,495000,4500,Balcony present,Bath and shower,Yes,Resale property,,,14,Electricity,Communal central heating,Electrical boiler,Double glazing,2 ,110,3 ,"In wooded surroundings, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 347.00 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Public parking and resident's parking permits,330,1959,,,,,,,6,E ,Storage box, 347.00  ,,
303,Yes,269000,3587,,,Yes,Resale property,Gas-fired,,4,,CH boiler,CH boiler,Double glazing,2 ,75,2 ,Alongside a quiet road and in residential district,Yes,,4 rooms (3 bedrooms),1,Yes,Yes,Yes,,Sold under reservation,Residential property with shared street entrance (apartment),Public parking,210,1958,,,,,,,,E ,,,Flat roof covered with asphalt roofing,
304,Yes,332500,4555,Balcony present,Bath,Yes,Resale property,,A  ,6,,Communal central heating,Central facility,Roof insulation and triple glazed,4 ,73,,Alongside busy road and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 399.57 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Sold under reservation,Upstairs apartment (corridor apartment),,235,1980,,,,,,Built-in and parking place,6,,Storage box, 399.57  ,Flat roof covered with asphalt roofing,
305,Yes,575000,5324,,"Bath, shower and toilet",Yes,Resale property,"2015, in ownership",D  ,5,"Skylight, flue and TV via cable",CH boiler,CH boiler,No insulation,"March 12, 2022",108,Grou ,Alongside a quiet road and in residential district,Yes,2 bathrooms and 1 separate toilet,5 rooms (3 bedrooms),3,Yes (€ 100.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Ground-floor + upstairs apartment (apartment),Paid parking and resident's parking permits,403,1929,"93 m² (14,5 meter deep and 6,4 meter broad)",Back garden,Located at the southeast,,,,5,,Attached brick storage, 100.00  ,Flat roof,
306,Yes,450000,4245,Roof terrace present and balcony present,Bath,Yes,Resale property,,C  ,23,"Elevator, mechanical ventilation and TV via cable",Communal central heating,Central facility,"Roof insulation, double glazing and insulated walls","March 2, 2022",106,12 ,On the edge of a forest and alongside busy road,Yes,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 466.36 per month),Yes,Yes,,Available,Galleried apartment (corridor apartment),"Public parking, parking garage and resident's parking permits",359,1979,,,,,,,,,, 466.36  ,Flat roof covered with asphalt roofing,
307,,803000,7367,Balcony present,,,New property,,,,"Outdoor awning, mechanical ventilation and TV via cable",Complete floor heating,Central facility,Completely insulated,6 ,109,3 ,In wooded surroundings and in residential district,,,3 rooms (2 bedrooms),1,,,,,Under option,Apartment with shared street entrance (apartment),Parking on private property,327,2023,,,,,,Parking place,,A ,,,,
308,Yes,537500,6891,French balcony present,,Yes,Resale property,"Intergas Kombi Kompakt HRE 28/24 CW4 (gas-fired combination boiler from 2021, in ownership)",A  ,,,CH boiler,CH boiler,"Double glazing, insulated walls and floor insulation","March 11, 2022",78,2 ,"Alongside a quiet road, in residential district and unobstructed surrounding view",No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 125.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",320,1895,,,,,,,,,, 125.00  ,Combination roof,
309,,625000,3592,Balcony present,"Bath, shower and 2 toilets",,Resale property,"Remeha CW5 (gas-fired combination boiler from 2021, in ownership)",A  ,14,"Mechanical ventilation, flue, TV via cable and solar panels",CH boiler and partial floor heating,CH boiler,Completely insulated,0,174,,"Alongside a quiet road, alongside water, in residential district and unobstructed surrounding view",,2 bathrooms and 1 separate toilet,5 rooms (4 bedrooms),3,,,,,Available,,Parking on private property and public parking,535,2000,"106 m² (12,5 meter deep and 8,5 meter broad)",Back garden and side garden,Located at the northeast accessible via the rear,"Single-family home, corner house",,Carport and parking place,6,,Detached wooden storage,,Flat roof,245
310,Yes,469000,4644,,Shower,Yes,Resale property,"Remeha Avanta CW 4 (gas-fired combination boiler from 2019, in ownership)",C  ,,"Skylight, mechanical ventilation and TV via cable",CH boiler,CH boiler,Double glazing and energy efficient window,3 ,101,Grou ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 80.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Under offer,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",368,,"48 m² (15,11 meter deep and 3,15 meter broad)",Back garden,Located at the southeast,,2 ,,,,, 80.00  ,Flat roof,
311,Yes,245000,3267,,,Yes,Resale property,Combination boiler,B  ,,,CH boiler,CH boiler,Double glazing,3 ,75,2 ,Alongside a quiet road and in residential district,Yes,,3 rooms (2 bedrooms),3,Yes,Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment),,200,1995,,,,,,,4,,,,,
312,,429500,2454,Roof terrace present,,,Resale property,,,15,,CH boiler,CH boiler,Double glazing,5 ,175,,,,2 bathrooms and 3 separate toilets,6 rooms (5 bedrooms),3,,,,,Available,,"Paid parking, public parking and resident's parking permits",560,1994,"17 m² (2,35 meter deep and 7,25 meter broad)",Back garden,Located at the southeast accessible via the rear,"Single-family home, row house",,,,,,,Flat roof covered with asphalt roofing,108
313,Yes,345000,3966,Balcony present,,Yes,Resale property,"Gas-fired combination boiler, in ownership",B  ,8,"Elevator, mechanical ventilation and TV via cable",CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated","March 9, 2022",87,4 ,"Alongside a quiet road, in residential district, freestanding location and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes,Yes,Yes,,Available,Apartment with shared street entrance (apartment),"Parking on private property, public parking and parking garage",266,2001,,,,,,Underground parking,6,,Storage box,,Flat roof covered with asphalt roofing,
314,Yes,375000,4464,,,Yes,Resale property,"Gas-fired combination boiler from 2012, in ownership",C  ,,"Electricity, heating and running water",CH boiler,CH boiler,Double glazing,"March 10, 2022",84,Grou ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 130.00 per month),Yes,Yes,,Available,Ground-floor apartment (apartment),,262,1934,"13 m² (2,55 meter deep and 5 meter broad)",Back garden,Located at the north,,,,5,,Detached wooden storage, 130.00  ,,
315,Yes,395000,4115,Balcony present,"Bath, shower and toilet",Yes,Resale property,"Vaillant (2006, in ownership)",F  ,17,Passive ventilation system and TV via cable,CH boiler,CH boiler,Partly double glazed,"March 5, 2022",96,2 ,In residential district,No,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),2,Yes (€ 56.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Under offer,Upstairs apartment (double upstairs apartment),Paid parking and public parking,362,1902,,Sun terrace,Located at the northeast,,,,,,, 56.00  ,,
316,Yes,258000,3440,Balcony present,Bath,Yes,Resale property,,E  ,7,Elevator and passive ventilation system,Communal central heating,Electrical boiler,Mostly double glazed,7 ,75,4 ,"In residential district, freestanding location and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 177.91 per month),Yes,Yes,With carpets and curtains,Sold under reservation,Galleried apartment (apartment),"Parking on gated property, parking on private property and public parking",236,1968,,,,,,,4,,Built-in, 177.91  ,Flat roof,
317,Yes,260000,3333,,,Yes,Resale property,,,10,,CH boiler,,,6 ,78,,,Yes,,4 rooms (2 bedrooms),1,Yes (€ 139.77 per month),Yes,Yes,,Sold under reservation,Galleried apartment,Paid parking and public parking,225,2001,,,,,,,5,B ,Storage box, 139.77  ,Flat roof,
318,Yes,775000,7110,,Bath,Yes,Resale property,2022,,,Mechanical ventilation,CH boiler,CH boiler,Double glazing and energy efficient window,4 ,109,Grou ,In center,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 130.00 per month),Yes,No,,Available,Ground-floor apartment (apartment),Resident's parking permits,325,1925,98 m² (14 meter deep and 7 meter broad),Back garden,Located at the northeast accessible via the rear,,31 ,,9,,, 130.00  ,Flat roof covered with asphalt roofing,
319,Yes,250000,3472,Balcony present,Shower,Yes,Resale property,"Gas-fired combination boiler from 2019, in ownership",E  ,3,"Skylight, mechanical ventilation, passive ventilation system and TV via cable",CH boiler,CH boiler,Double glazing,2 ,72,3 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Sold under reservation,Upstairs apartment (apartment),Public parking,242,1924,,,,,,,,,, 100.00  ,Flat roof,
320,,289500,2811,,"Bath, shower and toilet",,Resale property,"Gas-fired combination boiler from 2010, in ownership",,9,,CH boiler,CH boiler,Double glazing,6 ,103,,,,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),3,,,,,Under offer,,,360,1949,"56 m² (11,25 meter deep and 4,97 meter broad)",Back garden and front garden,Located at the southwest,"Single-family home, row house",3 ,,,E ,,,,
321,No,250000,3571,Balcony present,Shower,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler from 2011, in ownership)",E  ,7,,CH boiler,CH boiler,Double glazing,"March 3, 2022",70,3 ,"In center, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 137.32 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Paid parking and resident's parking permits,238,1958,,,,,,,9,,Built-in, 137.32  ,,
322,Yes,249500,3158,Balcony present,Shower,Yes,Resale property,"Bosch HR (gas-fired combination boiler from 2013, in ownership)",E  ,17,Electricity,CH boiler,CH boiler,,4 ,79,4 ,Alongside busy road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 138.98 per month),Yes,Yes,,Sold under reservation,Upstairs apartment,"Paid parking, public parking and resident's parking permits",258,1956,,,,,,,14,,Built-in, 138.98  ,Flat roof covered with asphalt roofing,
323,No,215000,2756,Balcony present,,No,Resale property,,E  ,4,,Communal central heating,Gas water heater (rental),,2 ,78,1 ,,No,1 separate toilet,3 rooms (2 bedrooms),1,No,No,No,,Under offer,Apartment with shared street entrance (apartment),,241,1969,,,,,,,,,Built-in,,,
324,Yes,265000,3681,,Bath and shower,Yes,Resale property,"Vaillant ( combination boiler from 2001, in ownership)",E  ,,,CH boiler,CH boiler,,7 ,72,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (1 bedroom),1,Yes (€ 50.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment),Public parking and resident's parking permits,279,1934,"52 m² (8,55 meter deep and 6,11 meter broad)",Back garden and front garden,Located at the southwest,,,,5,,Detached wooden storage, 50.00  ,Flat roof,
325,Yes,325000,3533,,Shower and toilet,Yes,Resale property,"Intergas HR (gas-fired combination boiler from 2021, in ownership)",D  ,,,CH boiler,CH boiler,,"March 9, 2022",92,Grou ,Alongside a quiet road and in residential district,No,1 bathroom,4 rooms,1,Yes (€ 70.00 per month),Yes,Yes,,Available,Ground-floor apartment (open shared street entrancet),"Paid parking, public parking and resident's parking permits",299,1951,"46 m² (10,7 meter deep and 7,04 meter broad)",Back garden and front garden,Located at the northeast,,,,4,,Outside plastic storage cabinet, 70.00  ,Flat roof covered with asphalt roofing,
326,Yes,275000,3819,,,Yes,Resale property,"Remeha (gas-fired combination boiler from 2005, in ownership)",D  ,5,Electricity,CH boiler,CH boiler,Double glazing,4 ,72,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 75.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",238,1931,"50 m² (6,75 meter deep and 7,45 meter broad)",Back garden,Located at the northeast,,,,4,,Detached wooden storage, 75.00  ,Flat roof covered with asphalt roofing,
327,No,595000,3940,,"Bath, shower and 2 toilets",No,Resale property,"Vaillant (gas-fired combination boiler from 2018, in ownership)",F  ,,TV via cable,CH boiler,CH boiler,Partly double glazed,2 ,151,Grou ,In residential district,No,2 bathrooms,5 rooms (3 bedrooms),1,No,No,No,Protected townscape or village view (permit needed for alterations),Sold under reservation,Ground-floor apartment (apartment),Parking on private property,610,1906,"21 m² (5,3 meter deep and 4 meter broad)",Back garden,Located at the northeast accessible via the rear,,9 ,Parking place,,,, 150.00  ,Flat roof,
328,Yes,299000,3181,Balcony present,Shower,Yes,Resale property,"Intergas (gas-fired combination boiler from 2014, in ownership)",C  ,,Electricity,CH boiler,CH boiler,Double glazing,4 ,94,1 ,In residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,No,Yes,Yes,,Available,Upstairs apartment (apartment with open entrance to street),Public parking,330,1981,,,,,7 ,,,,Built-in, 118.00  ,Flat roof covered with asphalt roofing,
329,,525000,3500,Roof terrace present,"Bath, shower and toilet",,Resale property,"Combi (gas-fired combination boiler, in ownership)",A  ,19,Electricity,CH boiler,CH boiler,Completely insulated,7 ,150,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,6 rooms (5 bedrooms),3,,,,Partly furnished with carpets and curtains,Sold under reservation,,Parking on private property and public parking,525,1998,"47 m² (7,3 meter deep and 6,5 meter broad)",Back garden and front garden,Located at the southwest accessible via the rear,"Single-family home, row house",,,10,,Detached wooden storage,,Shed roof covered with roof tiles,158
330,Yes,400000,3509,,Bath and shower,Yes,Resale property,"Remeha Avanta HR (gas-fired combination boiler from 2021, in ownership)",C  ,,,CH boiler,CH boiler,Double glazing,"March 10, 2022",114,Grou ,Alongside busy road and in residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),2,Yes (€ 120.00 per month),Yes,No,,Available,Ground-floor + upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",370,1923,"25 m² (8,4 meter deep and 3 meter broad)",Back garden,Located at the northeast,,,,,,, 120.00  ,Combination roof covered with asphalt roofing and roof tiles,
